Id,Age,Gender,Marital_status,Numofcomp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime_week,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
1571,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,Yes
1572,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
1573,19-26,Female,Single,0-2',8,3.5-7K,50-75%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
1574,19-26,Male,Single,0-2',8,3.5-7K,Above 100%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,High Cost,No,Working,4,No,No,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
1575,27-33,Female,Single,0-2',8,3.5-7K,Above 100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,No,2000 to 5000,High,High,High,Yes
1576,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
1577,19-26,Female,Married,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,No,Outskirt Town,Far,Low Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
1578,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
1579,34-40,Female,Married,6-8',8,10-15K,50-75%,24/7 Operation,No,Yes,Permanant,Yes,Outskirt Town,Far,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,No
1580,27-33,Female,Married,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,No,Unemployed/Resigned,3,No,Yes,No,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1581,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1582,27-33,Female,Single,0-2',5,7-10K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,Yes,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,Low,High,Yes
1583,27-33,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1584,19-26,Male,Single,3-5',5,3.5-7K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
1585,27-33,Female,Single,0-2',2,3.5-7K,<25%,Mon-Fri,Yes,Yes,Permanant,Yes,Outskirt Town,Far,Average,No,Working,5,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,Low,High,No
1586,27-33,Female,Single,9 Above,8,10-15K,75-100%,Flexible Hours,Yes,Yes,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,No,2000 to 5000,High,High,High,No
1587,19-26,Female,Married,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,No,Outskirt Town,Far,Low Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,No
1588,27-33,Male,Single,6-8',8,10-15K,25-50%,24/7 Operation,No,No,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
1589,27-33,Male,Single,6-8',8,15K Above,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,High Cost,No,Working,5,No,No,No,No,Yes,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
1590,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1591,27-33,Female,Single,0-2',8,3.5-7K,Above 100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,No,2000 to 5000,High,High,High,Yes
1592,27-33,Male,Married,0-2',8,3.5-7K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Average,Average,No,Unemployed/Resigned,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1593,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,High Cost,Yes,Unemployed/Resigned,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1594,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1595,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,Less Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1596,19-26,Female,Married,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
1597,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1598,27-33,Female,Married,0-2',2,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,No,Business Centre,Far,Average,No,Unemployed/Resigned,4,No,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1599,19-26,Male,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Permanant,Yes,Town,Near,High Cost,No,Working,4,No,No,No,Yes,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1600,27-33,Male,Single,0-2',5,7-10K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
1601,19-26,Male,Single,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,More Than 5000,Low,High,High,No
1602,27-33,Female,Married,0-2',5,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Outskirt Town,Near,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
1603,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1604,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1605,27-33,Female,Married,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,No,Unemployed/Resigned,3,No,Yes,No,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1606,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1607,19-26,Male,Single,0-2',5,3.5-7K,25-50%,24/7 Operation,No,Yes,Permanant,Yes,Outskirt Town,Far,Average,No,Unemployed/Resigned,3,Yes,Yes,No,No,No,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
1608,27-33,Female,Single,3-5',5,3.5-7K,50-75%,Flexible Hours,Yes,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,2,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,No,500 to 2000,High,High,High,No
1609,19-26,Male,Single,0-2',2,3.5-7K,<25%,24/7 Operation,No,No,Contract,No,Outskirt Town,Far,Average,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
1610,27-33,Female,Married,3-5',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,500 to 2000,High,High,High,Yes
1611,34-40,Male,Single,6-8',8,10-15K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,Low,High,Yes
1612,27-33,Female,Married,0-2',8 Above,15K Above,75-100%,Mon-Fri,Yes,Yes,Permanant,No,Outskirt Town,Near,Average,No,Working,5,Yes,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,Yes,No,More Than 5000,High,High,High,No
1613,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,High Cost,Yes,Unemployed/Resigned,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1614,19-26,Male,Married,3-5',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,Yes,Yes,Yes,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
1615,40 Above,Male,Married,3-5',8 Above,7-10K,50-75%,Flexible Hours,Yes,Yes,Permanant,Yes,Business Centre,Near,High Cost,No,Working,4,No,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,No,No,More Than 5000,High,High,High,Yes
1616,27-33,Female,Married,0-2',5,10-15K,25-50%,Flexible Hours,No,No,Permanant,Yes,Town,Average,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,High,High,Yes
1617,27-33,Female,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1618,27-33,Male,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,High Cost,Yes,Unemployed/Resigned,2,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
1619,27-33,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1620,27-33,Female,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1621,27-33,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,1,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
1622,27-33,Female,Single,0-2',8,15K Above,<25%,Mon-Fri,No,No,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
1623,27-33,Male,Married,3-5',8,3.5-7K,<25%,Flexible Hours,No,No,Contract,Yes,Business Centre,Near,High Cost,Yes,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1624,27-33,Female,Married,0-2',5,3.5-7K,Above 100%,Flexible Hours,No,Yes,Permanant,Yes,Business Centre,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,More Than 12 Days,No,Yes,Yes,No,2000 to 5000,High,High,High,Yes
1625,34-40,Female,Married,3-5',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1626,19-26,Male,Married,0-2',2,3.5-7K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Average,High Cost,Yes,Unemployed/Resigned,3,Yes,Yes,Yes,No,No,More Than 12 Days,No,Yes,No,Yes,More Than 5000,High,High,High,Yes
1627,19-26,Female,Single,3-5',5,3.5-7K,25-50%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,High Cost,No,Working,4,Yes,Yes,No,No,No,More Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
1628,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
1629,19-26,Female,Married,0-2',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,Yes,Business Centre,Near,Low Cost,No,Working,5,Yes,Yes,Yes,No,Yes,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,Yes
1630,27-33,Female,Married,3-5',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,500 to 2000,High,High,High,Yes
1631,27-33,Female,Married,3-5',8,7-10K,50-75%,24/7 Operation,Yes,Yes,Contract,Yes,Town,Far,Average,No,Working,3,Yes,Yes,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1632,19-26,Female,Married,3-5',5,3.5-7K,25-50%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Average,High Cost,No,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
1633,19-26,Male,Single,0-2',8,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,5,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1634,27-33,Male,Married,3-5',8,3.5-7K,<25%,Flexible Hours,No,No,Contract,Yes,Business Centre,Near,High Cost,Yes,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1635,27-33,Female,Single,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1636,27-33,Female,Married,6-8',8 Above,10-15K,25-50%,24/7 Operation,No,No,Permanant,Yes,Business Centre,Average,Average,Yes,Working,4,Yes,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
1637,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1638,19-26,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,3,Yes,No,No,No,Yes,Less Than 12 Days,No,No,No,Yes,200 to 500,High,High,High,Yes
1639,19-26,Male,Single,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,High Cost,No,Unemployed/Resigned,1,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
1640,19-26,Female,Married,0-2',2,3.5-7K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Centre,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,Low,High,No
1641,27-33,Female,Married,0-2',5,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,Yes,Town,Near,Low Cost,No,Unemployed/Resigned,3,No,Yes,No,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1642,19-26,Female,Married,0-2',2,3.5-7K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
1643,19-26,Male,Married,3-5',5,7-10K,50-75%,24/7 Operation,Yes,Yes,Permanant,Yes,Outskirt Town,Near,Average,No,Working,4,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
1644,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
1645,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Near,High Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
1646,34-40,Male,Married,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,Yes,Permanant,Yes,Outskirt Town,Average,High Cost,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,More Than 5000,High,High,High,Yes
1647,19-26,Male,Single,0-2',5,3.5-7K,25-50%,Flexible Hours,Yes,Yes,Permanant,No,Town,Near,Low Cost,Yes,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
1648,27-33,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,1,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
1649,27-33,Male,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,Yes
1650,27-33,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,2,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
1651,34-40,Male,Married,9 Above,8 Above,10-15K,75-100%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
1652,27-33,Male,Married,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
1653,27-33,Female,Married,0-2',5,3.5-7K,25-50%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,No,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,500 to 2000,High,High,High,Yes
1654,19-26,Female,Single,0-2',8,3.5-7K,50-75%,Mon-Fri,Yes,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
1655,27-33,Male,Married,3-5',8,3.5-7K,<25%,Flexible Hours,No,No,Contract,Yes,Business Centre,Near,High Cost,Yes,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1656,34-40,Male,Married,9 Above,8 Above,10-15K,75-100%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
1657,27-33,Male,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
1658,34-40,Female,Single,6-8',8 Above,7-10K,50-75%,Mon-Fri,Yes,No,Permanant,Yes,Business Centre,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More Than 12 Days,Yes,Yes,Yes,Yes,More Than 5000,High,High,High,Yes
1659,19-26,Female,Married,0-2',5,3.5-7K,25-50%,24/7 Operation,No,No,Permanant,No,Outskirt Town,Near,High Cost,No,Working,2,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,Less Than 200,High,High,High,No
1660,27-33,Male,Married,0-2',5,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Outskirt Town,Near,Average,No,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1661,27-33,Female,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1662,27-33,Male,Single,0-2',2,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,Yes
1663,27-33,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,Yes,Permanant,Yes,Town,Near,Average,Yes,Unemployed/Resigned,2,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,Yes
1664,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
1665,27-33,Female,Married,3-5',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,500 to 2000,High,High,High,Yes
1666,27-33,Female,Married,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Near,Average,Yes,Working,2,No,No,No,No,No,Less Than 12 Days,No,No,No,No,Less Than 200,High,High,High,No
1667,19-26,Female,Married,0-2',8,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,Yes,No,No,Less Than 200,High,High,High,Yes
1668,27-33,Female,Single,3-5',8 Above,15K Above,25-50%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,4,Yes,No,Yes,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1669,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
1670,27-33,Female,Married,0-2',5,10-15K,25-50%,Flexible Hours,No,No,Permanant,Yes,Town,Average,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,High,High,Yes
1671,27-33,Female,Married,0-2',2,3.5-7K,<25%,24/7 Operation,No,Yes,Permanant,No,Business Centre,Far,Average,No,Unemployed/Resigned,4,No,No,No,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
1672,27-33,Male,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
1673,19-26,Male,Single,0-2',2,3.5-7K,<25%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,More Than 5000,Low,High,High,No
1674,34-40,Male,Married,9 Above,8 Above,10-15K,75-100%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
1675,19-26,Female,Married,3-5',5,3.5-7K,25-50%,Flexible Hours,No,No,Permanant,Yes,Outskirt Town,Average,High Cost,No,Working,3,Yes,No,Yes,Yes,No,More Than 12 Days,No,No,Yes,Yes,2000 to 5000,High,High,High,Yes
1676,34-40,Male,Married,3-5',8 Above,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less Than 12 Days,No,No,No,No,500 to 2000,High,High,High,No
1677,19-26,Female,Single,3-5',5,3.5-7K,75-100%,24/7 Operation,No,Yes,Permanant,No,Town,Near,Average,Yes,Working,5,No,Yes,No,Yes,Yes,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
1678,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,High Cost,Yes,Unemployed/Resigned,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
1679,40 Above,Male,Single,0-2',8,7-10K,50-75%,Mon-Fri,Yes,No,Contract,Yes,Business Centre,Average,Average,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,Yes,No,No,No,More Than 5000,High,Low,High,Yes
1680,34-40,Female,Married,3-5',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,Yes,More Than 5000,High,High,High,No
1681,34-40,Female,Married,3-5',8 Above,7-10K,<25%,Mon-Fri,No,No,Permanant,Yes,Outskirt Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,No
1682,27-33,Male,Married,0-2',8,7-10K,50-75%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,Yes,Working,3,Yes,No,Yes,No,Yes,More Than 12 Days,Yes,No,No,Yes,2000 to 5000,High,High,High,Yes
